sei;numero;ano;portaria;data_publicacao;orgao_instaurador;orgao_lesado;sigla_orgao;empresa_processada;tipo_societario;cnpj;conuta;data_decisao;decisao;fase;valor_multa
1520.01.0000503/2020-21;1;2020;1;2020-01-23;CGE;Instituto de Previdência dos Servidores do Estado de Minas Gerais;IPSEMG;FARMACONN LTDA (EM RECUPERAÇÃO JUDICIAL);SOCIEDADE LIMITADA;04.159.816/0001-13;Suborno para obter informações de propostas concorrentes;2023-12-11;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;1817049,75
1520.01.0000435/2020-14;6;2016;7;2016-07-20;CGE;Instituto de Previdência dos Servidores do Estado de Minas Gerais;IPSEMG;CLÍNICA DE FONOAUDIOLOGIA FONOCENTER;SOCIEDADE LIMITADA - ME/EPP;09.618.722/0001-89;Apresentação de documento com conteúdo falso;2021-09-21;Multa;TRANSITADO EM JULGADO;2834,99
1520.01.0005264/2019-02;5;2019;10;2019-06-25;CGE;Instituto Estadual do Patrimônio Histórico e Artístico de Minas Gerais;IPSEMG;ALA SEGURANÇA LTDA;SOCIEDADE LIMITADA;14.428.415/0001-75;Falsa declaração como ME/EPP;2023-12-28;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;181503,99
1520.01.0003467/2019-21;4;2019;9;2019-05-24;CGE;Polícia Militar de Minas Gerais;PMMG;PLUG SOLUÇÕES EM IMPRESSÕES LTDA;SOCIEDADE LIMITADA;16.577.360/0001-90;Entrega de produtos falsos;2024-08-08;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;28447,1
1520.01.0005179/2019-66;3;2016;4;2016-04-15;CGE;PROMINAS;PROMINAS;POLICARD SISTEMS E SERVIÇOS SA;S.A. SOCIEDADE ANÔNIMA;00.904.951/0001-95;Apresentação de documento com conteúdo falso;2019-04-09;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;325623,92
1520.01.0004459/2019-09;1;2015;1;2015-09-19;CGE;Secretaria de Esportes de Minas Gerais;SEESP;BRASFITNESS COMERCIO DE ARTIGOS ESPORTIVOS LTDA ME;SOCIEDADE LIMITADA - ME/EPP;11.753.865/0001-45;Ajuste entre empresas para direcionar contratação;2017-10-11;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;608016,54
1520.01.0004459/2019-09;1;2015;1;2015-09-19;CGE;Secretaria de Esportes de Minas Gerais;SEESP;JULIO CESAR GASPARINI JUNIOR ME;MEI - MICROEMPREENDEDOR INDIVIDUAL;08.973.569/0001-45;Ajuste entre empresas para direcionar contratação;2017-10-11;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;
1520.01.0004459/2019-09;1;2015;1;2015-09-19;CGE;Secretaria de Esportes de Minas Gerais;SEESP;METALÚRGICA FLEX FITNESS LTDA-ME;MEI - MICROEMPREENDEDOR INDIVIDUAL;09.285.197/0001-27;Ajuste entre empresas para direcionar contratação;2017-10-11;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;
1520.01.0000480/2020-60;1;2017;1;2017-01-05;CGE;Secretaria de Estado de Ciência, Tecnologia e Ensino Superior de Minas Gerais;SECTES;"BIOTECNOLOGIA VEGETAL LTDA – BIOTEV e Outras; DEMAIS EMPRESAS ESTÃO NAS LINHAS OCULTADAS ABAIXO.";SOCIEDADE LIMITADA;14.804.163/0001-31;Manipulação de equilíbrio ecnômico contratual. Sobrepreço. Superfaturamento. Grupo Econômico.;2023-01-06;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;3995009,27
1520.01.0000480/2020-60;1;2017;1;2017-01-05;CGE;Secretaria de Estado de Ciência, Tecnologia e Ensino Superior de Minas Gerais;SECTES;"SRN - COMERCIAL IMPORTADORA  E EXPORTADORA S.A.;";S.A. SOCIEDADE ANÔNIMA;12.403.909/0001-70;Manipulação. Sobrepreço. Superfaturamento. Grupo Econômico.;2023-01-06;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;
1520.01.0000480/2020-60;1;2017;1;2017-01-05;CGE;Secretaria de Estado de Ciência, Tecnologia e Ensino Superior de Minas Gerais;SECTES;BRASTRADING COMÉRCIO IMPORTAÇÃO E EXPORTAÇÃO LTDA.;SOCIEDADE LIMITADA;01.734.439.0001-00;Manipulação. Sobrepreço. Superfaturamento. Grupo Econômico.;2023-01-06;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;
1520.01.0000480/2020-60;1;2017;1;2017-01-05;CGE;Secretaria de Estado de Ciência, Tecnologia e Ensino Superior de Minas Gerais;SECTES;TRUST TRADING EXPORTAÇÃO LTDA ;SOCIEDADE LIMITADA;66.628.983/0001-13;Manipulação. Sobrepreço. Superfaturamento. Grupo Econômico.;2023-01-06;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;
1520.01.0000480/2020-60;1;2017;1;2017-01-05;CGE;Secretaria de Estado de Ciência, Tecnologia e Ensino Superior de Minas Gerais;SECTES;FGA ASSESSORIA E NEGÓCIOS LTDA;SOCIEDADE LIMITADA;09.658.619/0001-62;Manipulação. Sobrepreço. Superfaturamento. Grupo Econômico.;2023-01-06;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;
1520.01.0000480/2020-60;1;2017;1;2017-01-05;CGE;Secretaria de Estado de Ciência, Tecnologia e Ensino Superior de Minas Gerais;SECTES;FUNDAÇÃO DE APOIO E DESENVOLVIMENTO DA EDUCAÇÃO, CIÊNCIA, E TECNOLÓGICA DE MINAS GERAIS - FUNDAÇÃO RENATO AZEREDO – FRA;FUNDAÇÃO PÚBLICA;01.166.492/0001-52;Manipulação. Sobrepreço. Superfaturamento. Grupo Econômico.;2023-01-06;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;
1520.01.0000480/2020-60;1;2017;1;2017-01-05;CGE;Secretaria de Estado de Ciência, Tecnologia e Ensino Superior de Minas Gerais;SECTES;FUNDAÇÃO DE APOIO À UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI – FAUF;FUNDAÇÃO PÚBLICA;05.418.239/0001-08;Manipulação. Sobrepreço. Superfaturamento. Grupo Econômico.;2023-01-06;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;
1520.01.0000494/2020-70;2;2017;2;2017-01-05;CGE;Secretaria de Estado de Ciência, Tecnologia e Ensino Superior de Minas Gerais;SECTES;BIOTEV – BIOTECNOLOGIA VEGETAL LTDA;SOCIEDADE LIMITADA;14.804.163/0001-31;"Suborno; Uso de interposta pessoa para dissimular a prática de atos lesivos e/ou ocultar seus reais beneficiários;";2022-11-25;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;573206,44
1520.01.0003036/2021-12;3;2021;7;2021-03-29;CGE;Secretaria de Estado de Desenvolvimento Social de Minas Gerais;SEDESE;PAULO ZIOBER EQUIPAMENTOS METALÚRGICOS LTDA;SOCIEDADE LIMITADA;08.374.053/0001-84;Burla à LC 123/06;2024-11-08;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;443499,5
1520.01.0003036/2021-12;3;2021;7;2021-03-29;CGE;Secretaria de Estado de Desenvolvimento Social de Minas Gerais;SEDESE;S.O. ZIOBER & CIA EQUIPAMENTOS METALÚRGICOS LTDA-EPP;SOCIEDADE LIMITADA - ME/EPP;10.547.961/0001-74;Burla à LC 123/06;2024-11-08;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;26656,95
1520.01.0000459/2020-45;5;2016;6;2016-07-02;CGE;Secretaria de Estado de Defesa Social de Minas Gerais;SEDS;NUTRIDORES INDÚSTRIA E COMÉRCIO DE REFEIÇÕES LTDA;SOCIEDADE LIMITADA;17.813.148/0001-48;Burla à sanção restritiva do direito de licitar e contratar;2021-10-08;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;282889,44
1520.01.0000459/2020-45;5;2016;6;2016-07-02;CGE;Secretaria de Estado de Defesa Social de Minas Gerais;SEDS;CAMBRAIA DE MELO REFEIÇÕES LTDA - EPP;SOCIEDADE LIMITADA - ME/EPP;04.140.189/0001-79;Burla à sanção restritiva do direito de licitar e contratar;2021-10-08;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;282889,44
1520.01.0001627/2019-37;1;2019;3;2019-03-29;CGE;Secretaria de Estado de Educação de Minas Gerais;SEE;APPLICARE CURSOS EIRELI;S.L.U. SOCIEDADE LIMITADA UNIPESSOAL;12.910.163/0001-90;Apresentação de documento com conteúdo falso;2022-05-12;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;7651,89
1520.01.0000455/2020-56;4;2016;5;2016-07-02;CGE;Secretaria de Geral do Estado de Minas Gerais;SGG;ALFA COMÉRCIO E REPRESENTAÇÕES E SOLUÇÕES GRÁFICAS LTDA-ME;SOCIEDADE LIMITADA - ME/EPP;18.672.579/0001-02;Burla à sanção restritiva do direito de licitar e contratar;2020-11-05;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;7986,15
1520.01.0000455/2020-56;4;2016;5;2016-07-02;CGE;Secretaria de Geral do Estado de Minas Gerais;SGG;PALHANO COMÉRCIO E REPRESENTAÇÕES DE SERVIÇOS GRÁFICOS LTDA;SOCIEDADE LIMITADA;01.012.498/0001-75;Burla à sanção restritiva do direito de licitar e contratar;2020-11-05;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;7986,15
1520.01.0000408/2020-64;7;2016;10;2016-10-04;CGE;Universidade do Estado de Minas Gerais;UEMG;QUALCOM INFORMÁTICA E RUBINGER;SOCIEDADE LIMITADA;11.143.662/0001-37;Dissimulação da necessidade de contratação com ajuda de servidores públicos (sem comprovação de suborno - art. 5, I, LAC).;2021-10-08;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;67326,41
1520.01.0000408/2020-64;7;2016;10;2016-10-04;CGE;Universidade do Estado de Minas Gerais;UEMG;LOPES & RUBINGER INFORMÁTICA LTDA;SOCIEDADE LIMITADA;02.952.226/0001-18;Dissimulação da necessidade de contratação com ajuda de servidores públicos (sem comprovação de suborno - art. 5, I, LAC).;2021-10-08;Multa e P.Ext. de decisão condenatória;TRANSITADO EM JULGADO;3131,38
1520.01.0000411/2020-80;8;2016;11;2016-10-04;CGE;Universidade do Estado de Minas Gerais;UEMG;E PC INFORMÁTICA LTDA;SOCIEDADE LIMITADA;19.104.451/0001-05;Entrega de bens inferiores aos contratados e obtenção de vantagem indevida.;2021-02-17;Multa;TRANSITADO EM JULGADO;167153,84
